student_id,gender,study_hours,sleep_hours,attendance,test_prep,math_score,reading_score,writing_score
1,Male,2,6,70,No,55,60,58
2,Female,5,7,85,Yes,78,82,80
3,Male,1,5,60,No,42,45,43
4,Female,6,8,92,Yes,88,90,91
5,Male,3,6,75,No,61,65,63
6,Female,7,8,95,Yes,91,94,93
7,Male,4,7,80,Yes,73,76,75
8,Female,8,6,98,Yes,95,96,97
9,Male,2,5,68,No,58,59,57
10,Female,9,8,99,Yes,98,99,98
11,Male,3,6,72,No,62,64,61
12,Female,6,7,90,No,84,87,85
13,Male,4,6,78,Yes,70,72,71
14,Female,7,7,91,Yes,89,92,90
15,Male,2,5,65,No,54,56,55
16,Female,8,8,96,Yes,94,95,96
17,Male,5,7,82,Yes,76,78,77
18,Female,6,7,88,Yes,85,87,86
19,Male,3,6,74,No,60,62,61
20,Female,9,8,99,Yes,97,98,97
21,Male,1,5,60,No,45,47,46
22,Female,7,8,93,Yes,90,91,92
23,Male,4,6,79,Yes,72,74,73
24,Female,5,7,84,Yes,79,81,80
25,Male,2,5,67,No,57,59,58
26,Female,8,8,97,Yes,96,97,96
27,Male,6,7,88,Yes,83,85,84
28,Female,3,6,75,No,62,64,63
29,Male,7,7,90,Yes,87,89,88
30,Female,9,8,99,Yes,98,99,99
31,Male,2,5,66,No,56,58,57
32,Female,6,7,89,Yes,84,86,85
33,Male,5,6,82,Yes,75,77,76
34,Female,7,8,92,Yes,90,92,91
35,Male,3,6,73,No,61,63,62
36,Female,8,8,96,Yes,95,96,95
37,Male,4,7,80,Yes,72,75,74
38,Female,5,7,85,Yes,80,82,81
39,Male,2,5,68,No,58,60,59
40,Female,9,8,99,Yes,98,99,98
41,Male,1,5,62,No,48,50,49
42,Female,7,7,91,Yes,89,90,91
43,Male,6,7,87,Yes,82,84,83
44,Female,4,6,79,Yes,73,75,74
45,Male,3,6,72,No,60,62,61
46,Female,8,8,97,Yes,95,96,97
47,Male,5,7,83,Yes,77,79,78
48,Female,6,7,88,Yes,84,86,85
49,Male,2,5,67,No,57,59,58
50,Female,9,8,99,Yes,98,99,98
51,Male,4,6,78,Yes,70,72,71
52,Female,7,8,93,Yes,90,91,92
53,Male,3,6,74,No,61,63,62
54,Female,5,7,85,Yes,80,82,81
55,Male,6,7,88,Yes,83,85,84
56,Female,8,8,96,Yes,95,97,96
57,Male,2,5,65,No,55,57,56
58,Female,9,8,99,Yes,98,99,99
59,Male,1,5,60,No,45,47,46
60,Female,7,7,91,Yes,89,91,90
61,Male,5,7,82,Yes,76,78,77
62,Female,6,7,88,Yes,85,87,86
63,Male,3,6,74,No,61,63,62
64,Female,8,8,97,Yes,96,97,98
65,Male,4,6,79,Yes,72,74,73
66,Female,5,7,84,Yes,79,81,80
67,Male,2,5,67,No,57,59,58
68,Female,9,8,99,Yes,98,99,98
69,Male,6,7,88,Yes,83,85,84
70,Female,7,8,92,Yes,90,92,91
71,Male,3,6,73,No,60,62,61
72,Female,8,8,96,Yes,95,96,97
73,Male,5,7,83,Yes,77,79,78
74,Female,6,7,88,Yes,84,86,85
75,Male,2,5,68,No,58,60,59
76,Female,9,8,99,Yes,98,99,98
77,Male,4,6,78,Yes,70,72,71
78,Female,7,8,93,Yes,90,91,92
79,Male,3,6,74,No,61,63,62
80,Female,5,7,85,Yes,80,82,81
81,Male,6,7,88,Yes,83,85,84
82,Female,8,8,97,Yes,96,97,98
83,Male,2,5,65,No,55,57,56
84,Female,9,8,99,Yes,98,99,99
85,Male,1,5,60,No,45,47,46
86,Female,7,7,91,Yes,89,91,90
87,Male,5,7,82,Yes,76,78,77
88,Female,6,7,88,Yes,85,87,86
89,Male,3,6,74,No,61,63,62
90,Female,8,8,97,Yes,96,97,98
91,Male,4,6,79,Yes,72,74,73
92,Female,5,7,84,Yes,79,81,80
93,Male,2,5,67,No,57,59,58
94,Female,9,8,99,Yes,98,99,98
95,Male,6,7,88,Yes,83,85,84
96,Female,7,8,92,Yes,90,92,91
97,Male,3,6,73,No,60,62,61
98,Female,8,8,96,Yes,95,96,97
99,Male,5,7,83,Yes,77,79,78
100,Female,6,7,88,Yes,84,86,85